Department,Year,Semester,CGPA,Attendance,Club,CareerGoal,Hosteller,Scholarship
EE,2,4,9.14,81,Coding Club,Research Scientist,No,OBC
ME,3,6,8.19,86,Robotics Club,Data Scientist,Yes,
IT,1,2,7.65,96,Robotics Club,Robotics Engineer,No,OBC
EE,1,2,6.98,70,Coding Club,AI Engineer,Yes,
CT,2,3,7.03,99,Coding Club,Software Engineer,No,OBC
EC,2,4,8.94,64,Music Club,Data Scientist,No,OBC
CS,3,5,7.78,70,Music Club,Professor,Yes,Merit
EE,4,7,9.22,77,Drama Club,Software Engineer,No,OBC
IIOT,1,1,8.16,79,Photography Club,Pilot,No,OBC
ME,2,4,9.54,85,Coding Club,Pilot,No,EWS
IT,2,3,6.28,87,Drama Club,Entrepreneur,No,OBC
AE,1,2,9.01,71,Music Club,Pilot,Yes,Merit
CS,1,1,9.09,99,Sports Club,Professor,No,
EC,1,1,7.33,64,Sports Club,Data Scientist,Yes,EWS
EE,1,1,7.46,95,Sports Club,Software Engineer,No,ST
ETC,4,7,9.65,84,Music Club,Research Scientist,No,Merit
ME,4,7,9.28,68,Robotics Club,Professor,Yes,ST
CE,2,4,8.76,76,NCC,Professor,Yes,
IIOT,1,2,9.78,84,Sports Club,AI Engineer,Yes,
EE,2,4,9.16,100,Robotics Club,Entrepreneur,Yes,Merit
AI/ML,3,5,8.17,75,Sports Club,Robotics Engineer,No,Merit
CE,1,2,6.87,69,Photography Club,Robotics Engineer,No,SC
AE,1,2,8.29,94,Music Club,Data Scientist,No,
EC,1,2,9.56,72,Drama Club,Professor,Yes,SC
EC,4,7,7.73,69,Drama Club,AI Engineer,No,EWS
EE,3,5,8.79,90,Music Club,Professor,Yes,EWS
EE,4,8,6.4,75,Coding Club,Software Engineer,Yes,OBC
RE,4,7,6.58,70,NSS,Pilot,No,ST
EE,2,3,9.74,72,Coding Club,Entrepreneur,Yes,SC
IT,1,2,8.75,99,Drama Club,Software Engineer,Yes,OBC
IT,4,8,9.7,88,Sports Club,Data Scientist,No,ST
RE,2,4,9.47,70,Sports Club,Professor,No,EWS
IIOT,1,1,7.91,94,Robotics Club,Pilot,Yes,
AI/ML,4,7,8.15,62,Music Club,Robotics Engineer,No,Merit
AE,2,3,8.38,90,Coding Club,Professor,No,SC
ME,2,3,6.51,92,Robotics Club,Professor,No,Merit
EE,2,3,6.97,64,Coding Club,AI Engineer,Yes,
AE,1,2,6.13,85,Robotics Club,Research Scientist,No,ST
CS,3,6,6.29,85,Photography Club,Research Scientist,Yes,Merit
AI/ML,4,8,6.98,61,Robotics Club,Data Scientist,No,SC
CT,4,7,8.91,87,Robotics Club,Data Scientist,No,SC
CS,1,2,8.75,100,NSS,AI Engineer,No,EWS
AI/ML,1,1,5.67,90,NCC,Research Scientist,Yes,OBC
ETC,2,3,9.29,84,Sports Club,AI Engineer,Yes,EWS
CE,4,8,6.43,77,Music Club,Professor,No,EWS
ME,4,7,8.68,91,Sports Club,Research Scientist,Yes,OBC
EC,3,5,8.1,96,Robotics Club,Data Scientist,Yes,SC
DS,3,6,6.13,81,Sports Club,Software Engineer,No,ST
CT,4,8,9.45,60,Music Club,Robotics Engineer,No,Merit
DS,4,8,7.69,78,Music Club,Research Scientist,Yes,OBC
CS,4,8,6.37,60,NSS,Professor,Yes,
ME,2,3,9.68,81,Drama Club,AI Engineer,Yes,
IT,1,1,8.57,84,NSS,Data Scientist,No,Merit
DS,1,1,8.26,73,Robotics Club,Data Scientist,Yes,
DS,3,6,8.16,93,NCC,Pilot,Yes,OBC
IT,4,7,5.75,97,Drama Club,AI Engineer,Yes,OBC
IIOT,4,8,7.01,83,NSS,Research Scientist,Yes,SC
ETC,3,6,6.43,63,Drama Club,AI Engineer,Yes,EWS
CT,3,5,6.07,82,NCC,Research Scientist,Yes,EWS
CE,2,3,8.83,96,NSS,Data Scientist,No,ST
IT,3,5,5.81,68,NSS,AI Engineer,No,
RE,1,2,7.21,86,Music Club,Entrepreneur,No,Merit
EE,2,4,8.22,63,Coding Club,Pilot,No,ST
IIOT,3,5,6.37,78,NCC,Research Scientist,No,Merit
ETC,3,5,9.76,81,Photography Club,AI Engineer,No,Merit
EE,4,8,7.45,95,Music Club,Software Engineer,Yes,ST
CT,3,5,6.75,72,NSS,Data Scientist,No,
EC,3,6,8.46,91,Coding Club,AI Engineer,No,OBC
AI/ML,1,2,8.66,85,NSS,Pilot,Yes,SC
IT,3,5,8.09,100,Sports Club,Software Engineer,No,SC
RE,2,3,9.0,93,Photography Club,Professor,Yes,OBC
DS,1,2,8.84,76,NSS,Research Scientist,Yes,
EC,2,4,9.78,89,Photography Club,Data Scientist,No,SC
AE,4,8,8.66,92,Coding Club,Robotics Engineer,Yes,EWS
CS,1,2,9.75,96,Coding Club,AI Engineer,No,OBC
IT,3,5,8.33,69,Robotics Club,Entrepreneur,No,
EE,1,1,9.28,97,Drama Club,Data Scientist,Yes,SC
AE,3,6,8.8,88,Music Club,Professor,Yes,SC
CS,3,6,7.2,60,Coding Club,Professor,Yes,OBC
IT,3,5,6.45,82,Coding Club,Data Scientist,No,ST
IT,4,8,9.48,91,Robotics Club,Pilot,No,Merit
CS,4,7,5.54,62,Music Club,Entrepreneur,No,EWS
CT,2,3,8.52,78,Photography Club,AI Engineer,No,ST
EE,2,4,8.52,78,NSS,Professor,Yes,SC
EC,1,2,8.54,93,Sports Club,Research Scientist,No,Merit
RE,4,7,7.35,73,Robotics Club,Research Scientist,Yes,EWS
CS,4,7,7.48,87,Photography Club,AI Engineer,Yes,EWS
ETC,2,3,7.76,91,NSS,AI Engineer,No,EWS
DS,1,2,9.35,66,NSS,Software Engineer,Yes,ST
ETC,1,2,9.67,90,Sports Club,Professor,Yes,OBC
CE,2,4,7.59,68,NCC,Pilot,Yes,SC
CT,4,8,6.02,82,Music Club,Entrepreneur,No,
AI/ML,4,7,9.44,63,Music Club,Pilot,Yes,Merit
AE,3,6,9.67,97,Coding Club,AI Engineer,No,
ME,4,7,6.29,97,Coding Club,Pilot,No,OBC
RE,1,1,7.4,77,Photography Club,Research Scientist,Yes,OBC
EE,2,4,7.03,85,Music Club,Pilot,Yes,ST
AE,2,3,6.7,83,Robotics Club,Professor,No,SC
DS,2,4,9.3,77,Robotics Club,Data Scientist,No,OBC
CS,1,2,6.79,65,NCC,Research Scientist,No,OBC
RE,4,7,5.89,88,Sports Club,Software Engineer,Yes,SC
ME,3,5,6.97,60,Robotics Club,Data Scientist,Yes,Merit
RE,4,8,8.95,75,Music Club,Entrepreneur,Yes,OBC
EE,1,2,5.77,88,Sports Club,Professor,Yes,OBC
AI/ML,4,7,5.69,94,Sports Club,Pilot,Yes,ST
IT,3,6,6.93,66,Photography Club,Entrepreneur,Yes,SC
ETC,4,8,7.9,85,Drama Club,Research Scientist,Yes,SC
CE,2,4,7.61,78,NSS,Pilot,Yes,
AE,4,8,8.93,99,NCC,Professor,Yes,SC
AI/ML,2,4,7.65,89,Music Club,Professor,Yes,Merit
DS,1,1,7.99,69,Robotics Club,Research Scientist,No,SC
CS,1,1,9.11,81,NCC,AI Engineer,No,EWS
EE,1,1,8.29,86,Sports Club,Entrepreneur,No,OBC
IT,4,8,8.9,69,Sports Club,Software Engineer,Yes,ST
ETC,1,2,6.62,71,Music Club,Software Engineer,No,OBC
ME,1,2,6.59,71,Drama Club,Entrepreneur,No,EWS
CE,4,7,6.0,76,Coding Club,Software Engineer,Yes,
ETC,3,5,7.08,67,NCC,Pilot,No,ST
IIOT,3,5,6.68,85,NSS,Data Scientist,No,ST
EC,1,1,5.83,63,Coding Club,Entrepreneur,Yes,Merit
ME,2,4,8.01,82,Sports Club,Research Scientist,Yes,SC
CT,2,3,8.72,68,Photography Club,Data Scientist,Yes,Merit
IIOT,2,4,6.62,70,Coding Club,AI Engineer,No,SC
RE,3,5,7.35,78,Music Club,Software Engineer,Yes,SC
CE,2,3,5.7,86,NCC,Professor,Yes,OBC
AI/ML,1,2,5.61,65,NSS,Entrepreneur,Yes,Merit
CE,2,3,7.85,74,Music Club,Data Scientist,No,ST
AE,1,2,5.98,100,Music Club,Robotics Engineer,Yes,ST
IIOT,3,5,7.14,91,Coding Club,Entrepreneur,Yes,SC
AE,3,5,7.55,93,Drama Club,AI Engineer,No,
IIOT,1,1,5.72,99,Drama Club,AI Engineer,No,OBC
CT,4,8,9.01,61,Sports Club,Pilot,No,ST
IT,4,7,6.04,73,Music Club,AI Engineer,Yes,SC
CT,4,8,6.87,71,Coding Club,Software Engineer,No,EWS
EE,2,4,6.08,96,Sports Club,Research Scientist,Yes,EWS
IT,1,1,6.83,88,Photography Club,Robotics Engineer,No,ST
IT,4,8,5.93,63,Robotics Club,Research Scientist,Yes,OBC
ETC,2,3,5.88,67,Photography Club,Pilot,Yes,EWS
DS,3,6,8.46,77,NSS,Research Scientist,Yes,SC
CS,3,5,8.25,78,NCC,Pilot,No,OBC
CE,4,8,9.54,61,Coding Club,Professor,Yes,
CE,3,6,9.1,97,Robotics Club,Professor,No,Merit
ETC,4,7,8.63,70,Coding Club,Software Engineer,Yes,ST
RE,4,7,7.78,65,Coding Club,Data Scientist,No,Merit
ETC,1,2,9.86,68,NSS,Data Scientist,No,SC
RE,2,4,6.96,81,Robotics Club,Data Scientist,Yes,OBC
ETC,2,3,7.5,75,Robotics Club,Research Scientist,Yes,OBC
ETC,1,1,9.3,69,Music Club,AI Engineer,No,Merit
IIOT,2,4,6.29,83,Robotics Club,Data Scientist,Yes,
IT,1,2,7.27,67,Sports Club,Entrepreneur,No,Merit
IIOT,2,4,7.75,94,Photography Club,AI Engineer,No,ST
DS,2,4,6.95,90,Coding Club,Entrepreneur,No,EWS
EC,3,5,6.45,94,Robotics Club,Entrepreneur,No,ST
IIOT,2,3,6.19,100,Drama Club,Robotics Engineer,No,SC
AE,3,6,5.52,69,Coding Club,Software Engineer,Yes,
RE,2,4,9.68,85,Music Club,Pilot,Yes,ST
IIOT,3,5,5.99,95,NSS,Entrepreneur,No,ST
CT,1,1,7.68,85,NSS,Entrepreneur,No,
CT,1,1,6.17,65,Drama Club,Data Scientist,Yes,EWS
EE,3,6,6.14,84,Drama Club,Entrepreneur,Yes,EWS
CT,3,6,8.9,69,NSS,Research Scientist,No,Merit
ME,1,1,9.17,84,Robotics Club,Professor,No,ST
AE,4,7,6.93,65,Coding Club,AI Engineer,Yes,
IIOT,4,7,8.76,77,Music Club,Entrepreneur,No,OBC
CT,2,3,5.58,98,Sports Club,Research Scientist,Yes,ST
CE,4,7,8.24,62,Robotics Club,Pilot,Yes,SC
AI/ML,4,8,7.36,82,Coding Club,Software Engineer,Yes,
AI/ML,3,5,6.24,85,Drama Club,Professor,Yes,EWS
ME,4,7,6.62,98,Music Club,Software Engineer,Yes,ST
RE,2,3,6.71,93,NSS,Research Scientist,Yes,Merit
IIOT,4,7,8.24,89,Robotics Club,Software Engineer,No,Merit
ME,4,8,7.75,61,Coding Club,AI Engineer,No,
IIOT,1,2,8.41,63,Coding Club,Software Engineer,Yes,Merit
RE,2,3,8.36,77,Sports Club,Pilot,Yes,EWS
DS,1,2,6.5,70,Music Club,Entrepreneur,No,Merit
CE,3,5,6.62,73,Coding Club,Professor,No,OBC
DS,2,3,5.74,91,Photography Club,Professor,No,EWS
RE,4,7,9.36,81,NSS,Research Scientist,No,SC
IT,2,4,9.65,70,Photography Club,Robotics Engineer,No,ST
AE,1,2,9.5,77,NSS,Software Engineer,Yes,EWS
AI/ML,2,4,8.71,83,Sports Club,Software Engineer,Yes,SC
IIOT,1,1,7.26,77,Photography Club,Software Engineer,No,OBC
EE,3,6,6.37,64,NCC,Professor,Yes,
CS,2,4,6.45,81,Coding Club,Pilot,No,EWS
CS,1,1,5.57,83,Coding Club,Data Scientist,No,EWS
DS,1,1,5.55,75,NSS,Software Engineer,No,
CT,3,6,9.59,71,Sports Club,Data Scientist,No,
AE,4,8,6.56,95,Drama Club,Pilot,Yes,SC
AE,4,8,8.38,71,Robotics Club,Entrepreneur,Yes,
AI/ML,4,8,6.36,84,Coding Club,Robotics Engineer,No,ST
ME,1,1,6.07,81,Sports Club,Professor,Yes,SC
RE,1,2,7.48,95,Robotics Club,Pilot,No,
EC,3,5,9.19,80,Drama Club,Research Scientist,No,
ETC,2,4,6.19,64,Music Club,Robotics Engineer,Yes,ST
IIOT,4,8,8.99,82,NSS,Software Engineer,No,
IT,1,1,8.52,82,NSS,Pilot,No,
RE,4,8,8.76,65,Sports Club,Professor,Yes,Merit
EE,2,3,7.92,91,NSS,Entrepreneur,Yes,Merit
DS,3,5,8.28,95,NSS,Research Scientist,No,ST
ETC,2,4,5.86,61,Photography Club,Robotics Engineer,No,Merit
RE,1,1,8.36,78,NCC,Pilot,No,Merit
CE,4,7,8.94,85,NSS,Research Scientist,Yes,EWS
CE,3,5,8.78,75,Photography Club,Research Scientist,No,Merit
RE,2,3,7.09,86,NCC,Professor,No,OBC
CT,4,7,6.41,92,Coding Club,Entrepreneur,No,OBC
DS,3,5,6.07,85,Music Club,Entrepreneur,Yes,
CS,2,4,8.5,65,Music Club,Robotics Engineer,Yes,ST
EE,4,8,7.09,62,Sports Club,Software Engineer,No,EWS
ME,2,3,9.62,72,Robotics Club,Entrepreneur,No,EWS
DS,4,8,6.27,90,NCC,Robotics Engineer,No,EWS
CE,3,6,6.05,84,Music Club,AI Engineer,Yes,OBC
AE,1,1,7.42,63,Drama Club,Research Scientist,Yes,Merit
ME,2,3,6.61,65,Photography Club,AI Engineer,No,SC
IIOT,1,1,9.11,73,Robotics Club,AI Engineer,Yes,ST
IT,1,1,8.0,82,Robotics Club,Research Scientist,No,ST
IT,2,4,7.13,66,Sports Club,Software Engineer,Yes,ST
CS,1,1,8.67,100,Coding Club,Entrepreneur,Yes,OBC
ETC,4,7,7.63,64,Coding Club,Entrepreneur,No,OBC
RE,4,7,7.0,92,Sports Club,Software Engineer,Yes,
IT,2,4,7.68,75,Music Club,Pilot,Yes,EWS
IIOT,2,3,8.85,73,NCC,Research Scientist,Yes,Merit
CS,2,3,7.82,68,NSS,Research Scientist,Yes,Merit
ETC,1,1,5.92,84,Coding Club,AI Engineer,No,SC
IIOT,1,1,7.13,94,Drama Club,Research Scientist,Yes,ST
ME,4,7,6.33,89,Coding Club,Robotics Engineer,No,Merit
CS,3,6,6.88,100,Drama Club,Pilot,Yes,ST
ME,3,6,5.5,80,NCC,Software Engineer,Yes,Merit
RE,3,6,9.79,69,Drama Club,Pilot,No,OBC
CT,2,3,9.68,70,Coding Club,AI Engineer,Yes,OBC
AE,1,2,8.86,60,Sports Club,Research Scientist,No,OBC
IIOT,1,1,8.13,61,Drama Club,Pilot,No,OBC
ME,3,5,6.14,98,Sports Club,Entrepreneur,No,SC
DS,1,1,6.19,74,NSS,Research Scientist,No,Merit
AE,4,7,6.38,93,NSS,Data Scientist,No,SC
CT,2,3,9.88,97,Sports Club,Pilot,No,EWS
EC,1,2,6.47,62,Sports Club,Research Scientist,No,EWS
CS,4,7,9.21,83,Photography Club,Robotics Engineer,No,
EE,3,5,9.02,60,Robotics Club,Professor,No,Merit
AI/ML,4,7,7.89,75,Drama Club,Research Scientist,Yes,EWS
AE,3,5,8.07,100,NSS,Research Scientist,Yes,OBC
AE,1,2,7.8,91,NSS,Software Engineer,No,SC
ETC,4,7,7.34,87,Music Club,Research Scientist,Yes,OBC
ETC,4,7,8.92,81,Sports Club,Professor,Yes,
IIOT,3,5,9.81,79,Drama Club,AI Engineer,Yes,SC
ETC,2,3,6.2,88,Coding Club,Robotics Engineer,No,Merit
DS,2,4,8.67,88,Robotics Club,AI Engineer,Yes,SC
RE,4,8,8.62,87,Photography Club,Pilot,No,SC
CT,3,5,5.98,80,NSS,Pilot,Yes,OBC
CE,3,6,8.64,71,Drama Club,Research Scientist,No,ST
CT,1,1,7.59,74,Coding Club,Robotics Engineer,No,ST
RE,4,7,6.12,60,Robotics Club,Entrepreneur,Yes,OBC
CT,1,2,7.5,79,Music Club,Pilot,No,ST
ME,4,7,6.28,90,Drama Club,Robotics Engineer,No,EWS
RE,4,7,7.82,93,Drama Club,Professor,Yes,ST
AE,3,5,6.06,69,Sports Club,Software Engineer,No,ST
EE,4,8,8.76,66,NSS,Research Scientist,No,Merit
ETC,1,1,6.71,81,NCC,Research Scientist,Yes,EWS
DS,1,1,5.74,100,Sports Club,Professor,No,ST
CT,4,8,8.86,74,Drama Club,Pilot,No,Merit
AI/ML,2,4,8.75,71,NCC,Robotics Engineer,No,EWS
EC,2,3,7.06,72,NCC,AI Engineer,No,EWS
IT,2,3,7.05,97,Sports Club,Research Scientist,No,SC
ETC,2,4,6.51,75,Robotics Club,Data Scientist,Yes,EWS
AE,3,5,9.13,77,Drama Club,Professor,No,SC
CE,1,2,9.66,91,Music Club,Research Scientist,No,EWS
CS,4,7,7.22,77,Sports Club,AI Engineer,No,ST
EC,2,4,5.52,78,Coding Club,Entrepreneur,No,EWS
IIOT,2,4,9.25,80,Drama Club,AI Engineer,Yes,Merit
AI/ML,3,6,5.93,74,Photography Club,Pilot,Yes,ST
ETC,3,6,6.88,88,Photography Club,AI Engineer,Yes,OBC
IT,1,2,6.02,84,Robotics Club,Robotics Engineer,No,OBC
IT,3,6,7.8,71,NSS,Entrepreneur,Yes,SC
IIOT,2,4,6.96,76,Music Club,Professor,Yes,Merit
IT,3,6,5.99,66,Drama Club,AI Engineer,Yes,Merit
AI/ML,1,1,6.93,68,Drama Club,Software Engineer,No,Merit
CT,2,3,8.75,82,Robotics Club,Professor,No,SC
ME,3,5,7.79,87,NSS,Robotics Engineer,Yes,
ETC,1,1,8.58,64,Photography Club,Entrepreneur,No,EWS
RE,2,3,7.94,77,Photography Club,Data Scientist,No,ST
CT,3,6,7.52,63,Drama Club,Data Scientist,Yes,EWS
RE,3,6,8.34,97,Photography Club,AI Engineer,Yes,
IIOT,4,7,8.47,68,Coding Club,Entrepreneur,No,SC
AI/ML,1,1,8.86,85,Coding Club,Data Scientist,No,Merit
AE,2,3,8.1,93,Music Club,Software Engineer,No,OBC
AE,1,1,7.32,87,Coding Club,Pilot,Yes,EWS
DS,3,5,6.27,67,Sports Club,Professor,Yes,Merit
IIOT,3,5,7.41,75,Sports Club,Pilot,No,Merit
DS,2,4,8.14,86,Robotics Club,Pilot,Yes,ST
AE,4,8,9.16,98,Photography Club,Data Scientist,No,ST
IIOT,3,6,6.03,98,Music Club,Pilot,No,SC
DS,1,2,5.54,61,Music Club,AI Engineer,No,SC
IT,4,7,7.85,86,Sports Club,Research Scientist,Yes,Merit
CE,4,8,9.81,79,NCC,AI Engineer,No,EWS
ME,4,8,8.99,78,Coding Club,Robotics Engineer,Yes,OBC
AE,4,7,8.92,96,NSS,Robotics Engineer,Yes,
DS,3,6,8.51,92,NCC,Pilot,Yes,
RE,3,5,8.85,83,Coding Club,Pilot,No,Merit
AI/ML,2,3,8.12,86,Coding Club,AI Engineer,Yes,SC
DS,3,6,7.48,69,Sports Club,Pilot,Yes,ST
RE,2,3,8.76,77,Sports Club,Data Scientist,No,
EC,4,8,6.24,71,Drama Club,Research Scientist,Yes,OBC
DS,3,5,9.79,86,Music Club,Professor,Yes,ST
IT,2,4,6.14,98,Sports Club,Research Scientist,No,
DS,3,5,9.02,96,Drama Club,Software Engineer,No,ST
CT,3,5,9.57,77,NSS,Software Engineer,Yes,ST
IT,2,3,6.01,64,Music Club,Software Engineer,Yes,
RE,2,4,8.03,92,NCC,Research Scientist,No,EWS
EC,1,1,9.71,74,Coding Club,Software Engineer,No,SC
EE,1,2,9.35,77,Robotics Club,Data Scientist,No,ST
EC,1,1,6.08,72,Coding Club,Software Engineer,Yes,OBC
EE,2,3,7.05,83,Drama Club,Research Scientist,Yes,
EC,1,1,6.96,94,Sports Club,Robotics Engineer,No,OBC
AE,3,6,9.67,60,Photography Club,AI Engineer,Yes,ST
ME,3,5,9.05,89,Music Club,Research Scientist,Yes,EWS
RE,2,3,6.81,91,NCC,Data Scientist,No,ST
CS,1,1,8.1,66,NCC,AI Engineer,No,SC
AE,1,1,6.89,93,Photography Club,Pilot,No,
ETC,3,5,7.78,71,Sports Club,AI Engineer,No,Merit
CT,2,3,8.13,75,Drama Club,Pilot,No,SC
CT,1,2,7.92,68,NSS,Software Engineer,No,EWS
RE,2,3,8.22,76,Sports Club,AI Engineer,No,EWS
IIOT,2,4,5.56,91,NCC,Data Scientist,No,
DS,3,6,9.85,88,NSS,Entrepreneur,No,EWS
AI/ML,2,3,7.98,72,Coding Club,Entrepreneur,Yes,Merit
IIOT,3,5,7.82,61,Robotics Club,Robotics Engineer,Yes,SC
ME,2,4,9.45,87,NCC,Software Engineer,No,EWS
ME,3,5,7.71,72,Music Club,Pilot,No,Merit
IT,1,2,7.76,69,Robotics Club,Entrepreneur,No,OBC
IIOT,2,3,7.82,69,Coding Club,Robotics Engineer,Yes,Merit
CT,4,7,5.93,77,Robotics Club,Entrepreneur,No,OBC
